Passengerid,Age,Fare,sibsp,Parch,Pclass,Embarked,2urvived,Sex_male
1,22.0,7.25,1,0,3,2.0,0,False
2,38.0,712.833,1,0,1,0.0,1,True
3,26.0,7.925,0,0,3,2.0,1,True
4,35.0,53.1,1,0,1,2.0,1,True
5,35.0,8.05,0,0,3,2.0,0,False
6,28.0,84.583,0,0,3,1.0,0,False
7,54.0,518.625,0,0,1,2.0,0,False
8,2.0,21.075,3,1,3,2.0,0,False
9,27.0,111.333,0,2,3,2.0,1,True
10,14.0,300.708,1,0,2,0.0,1,True
11,4.0,16.7,1,1,3,2.0,1,True
12,58.0,26.55,0,0,1,2.0,1,True
13,20.0,8.05,0,0,3,2.0,0,False
14,39.0,31.275,1,5,3,2.0,0,False
15,14.0,78.542,0,0,3,2.0,0,True
16,55.0,16.0,0,0,2,2.0,1,True
17,2.0,29.125,4,1,3,1.0,0,False
18,28.0,13.0,0,0,2,2.0,1,False
19,31.0,18.0,1,0,3,2.0,0,True
20,28.0,7.225,0,0,3,0.0,1,True
21,35.0,26.0,0,0,2,2.0,0,False
22,34.0,13.0,0,0,2,2.0,1,False
23,15.0,80.292,0,0,3,1.0,1,True
24,28.0,35.5,0,0,1,2.0,1,False
25,8.0,21.075,3,1,3,2.0,0,True
26,38.0,313.875,1,5,3,2.0,1,True
27,28.0,7.225,0,0,3,0.0,0,False
28,19.0,263.0,3,2,1,2.0,0,False
29,28.0,78.792,0,0,3,1.0,1,True
30,28.0,78.958,0,0,3,2.0,0,False
31,40.0,277.208,0,0,1,0.0,0,False
32,28.0,1465.208,1,0,1,0.0,1,True
33,28.0,7.75,0,0,3,1.0,1,True
34,66.0,10.5,0,0,2,2.0,0,False
35,28.0,821.708,1,0,1,0.0,0,False
36,42.0,52.0,1,0,1,2.0,0,False
37,28.0,72.292,0,0,3,0.0,1,False
38,21.0,8.05,0,0,3,2.0,0,False
39,18.0,18.0,2,0,3,2.0,0,True
40,14.0,112.417,1,0,3,0.0,1,True
41,40.0,9.475,1,0,3,2.0,0,True
42,27.0,21.0,1,0,2,2.0,0,True
43,28.0,78.958,0,0,3,0.0,0,False
44,3.0,415.792,1,2,2,0.0,1,True
45,19.0,78.792,0,0,3,1.0,1,True
46,28.0,8.05,0,0,3,2.0,0,False
47,28.0,15.5,1,0,3,1.0,0,False
48,28.0,7.75,0,0,3,1.0,1,True
49,28.0,216.792,2,0,3,0.0,0,False
50,18.0,17.8,1,0,3,2.0,0,True
51,7.0,396.875,4,1,3,2.0,0,False
52,21.0,7.8,0,0,3,2.0,0,False
53,49.0,767.292,1,0,1,0.0,1,True
54,29.0,26.0,1,0,2,2.0,1,True
55,65.0,619.792,0,1,1,0.0,0,False
56,28.0,35.5,0,0,1,2.0,1,False
57,21.0,10.5,0,0,2,2.0,1,True
58,28.5,72.292,0,0,3,0.0,0,False
59,5.0,27.75,1,2,2,2.0,1,True
60,11.0,46.9,5,2,3,2.0,0,False
61,22.0,72.292,0,0,3,0.0,0,False
62,38.0,80.0,0,0,1,2.0,1,True
63,45.0,83.475,1,0,1,2.0,0,False
64,4.0,27.9,3,2,3,2.0,0,False
65,28.0,277.208,0,0,1,0.0,0,False
66,28.0,152.458,1,1,3,0.0,1,False
67,29.0,10.5,0,0,2,2.0,1,True
68,19.0,81.583,0,0,3,2.0,0,False
69,17.0,7.925,4,2,3,2.0,1,True
70,26.0,86.625,2,0,3,2.0,0,False
71,32.0,10.5,0,0,2,2.0,0,False
72,16.0,46.9,5,2,3,2.0,0,True
73,21.0,73.5,0,0,2,2.0,0,False
74,26.0,144.542,1,0,3,0.0,0,False
75,32.0,564.958,0,0,3,2.0,1,False
76,25.0,7.65,0,0,3,2.0,0,False
77,28.0,78.958,0,0,3,2.0,0,False
78,28.0,8.05,0,0,3,2.0,0,False
79,0.83,29.0,0,2,2,2.0,1,False
80,30.0,12.475,0,0,3,2.0,1,True
81,22.0,9.0,0,0,3,2.0,0,False
82,29.0,9.5,0,0,3,2.0,1,False
83,28.0,77.875,0,0,3,1.0,1,True
84,28.0,47.1,0,0,1,2.0,0,False
85,17.0,10.5,0,0,2,2.0,1,True
86,33.0,15.85,3,0,3,2.0,1,True
87,16.0,34.375,1,3,3,2.0,0,False
88,28.0,8.05,0,0,3,2.0,0,False
89,23.0,263.0,3,2,1,2.0,1,True
90,24.0,8.05,0,0,3,2.0,0,False
91,29.0,8.05,0,0,3,2.0,0,False
92,20.0,78.542,0,0,3,2.0,0,False
93,46.0,61.175,1,0,1,2.0,0,False
94,26.0,20.575,1,2,3,2.0,0,False
95,59.0,7.25,0,0,3,2.0,0,False
96,28.0,8.05,0,0,3,2.0,0,False
97,71.0,346.542,0,0,1,0.0,0,False
98,23.0,633.583,0,1,1,0.0,1,False
99,34.0,23.0,0,1,2,2.0,1,True
100,34.0,26.0,1,0,2,2.0,0,False
101,28.0,78.958,0,0,3,2.0,0,True
102,28.0,78.958,0,0,3,2.0,0,False
103,21.0,772.875,0,1,1,2.0,0,False
104,33.0,86.542,0,0,3,2.0,0,False
105,37.0,7.925,2,0,3,2.0,0,False
106,28.0,78.958,0,0,3,2.0,0,False
107,21.0,7.65,0,0,3,2.0,1,True
108,28.0,7.775,0,0,3,2.0,1,False
109,38.0,78.958,0,0,3,2.0,0,False
110,28.0,24.15,1,0,3,1.0,1,True
111,47.0,52.0,0,0,1,2.0,0,False
112,14.5,144.542,1,0,3,0.0,0,True
113,22.0,8.05,0,0,3,2.0,0,False
114,20.0,9.825,1,0,3,2.0,0,True
115,17.0,144.583,0,0,3,0.0,0,True
116,21.0,7.925,0,0,3,2.0,0,False
117,70.5,7.75,0,0,3,1.0,0,False
118,29.0,21.0,1,0,2,2.0,0,False
119,24.0,2475.208,0,1,1,0.0,0,False
120,2.0,31.275,4,2,3,2.0,0,True
121,21.0,73.5,2,0,2,2.0,0,False
122,28.0,8.05,0,0,3,2.0,0,False
123,32.5,300.708,1,0,2,0.0,0,False
124,32.5,13.0,0,0,2,2.0,1,True
125,54.0,772.875,0,1,1,2.0,0,False
126,12.0,112.417,1,0,3,0.0,1,False
127,28.0,7.75,0,0,3,1.0,0,False
128,24.0,71.417,0,0,3,2.0,1,False
129,28.0,223.583,1,1,3,0.0,1,True
130,45.0,6.975,0,0,3,2.0,0,False
131,33.0,78.958,0,0,3,0.0,0,False
132,20.0,7.05,0,0,3,2.0,0,False
133,47.0,14.5,1,0,3,2.0,0,True
134,29.0,26.0,1,0,2,2.0,1,True
135,25.0,13.0,0,0,2,2.0,0,False
136,23.0,150.458,0,0,2,0.0,0,False
137,19.0,262.833,0,2,1,2.0,1,True
138,37.0,53.1,1,0,1,2.0,0,False
139,16.0,92.167,0,0,3,2.0,0,False
140,24.0,79.2,0,0,1,0.0,0,False
141,28.0,152.458,0,2,3,0.0,0,True
142,22.0,7.75,0,0,3,2.0,1,True
143,24.0,15.85,1,0,3,2.0,1,True
144,19.0,6.75,0,0,3,1.0,0,False
145,18.0,11.5,0,0,2,2.0,0,False
146,19.0,36.75,1,1,2,2.0,0,False
147,27.0,77.958,0,0,3,2.0,1,False
148,9.0,34.375,2,2,3,2.0,0,True
149,36.5,26.0,0,2,2,2.0,0,False
150,42.0,13.0,0,0,2,2.0,0,False
151,51.0,12.525,0,0,2,2.0,0,False
152,22.0,66.6,1,0,1,2.0,1,True
153,55.5,8.05,0,0,3,2.0,0,False
154,40.5,14.5,0,2,3,2.0,0,False
155,28.0,73.125,0,0,3,2.0,0,False
156,51.0,613.792,0,1,1,0.0,0,False
157,16.0,77.333,0,0,3,1.0,1,True
158,30.0,8.05,0,0,3,2.0,0,False
159,28.0,86.625,0,0,3,2.0,0,False
160,28.0,69.55,8,2,3,2.0,0,False
161,44.0,16.1,0,1,3,2.0,0,False
162,40.0,15.75,0,0,2,2.0,1,True
163,26.0,7.775,0,0,3,2.0,0,False
164,17.0,86.625,0,0,3,2.0,0,False
165,1.0,396.875,4,1,3,2.0,0,False
166,9.0,20.525,0,2,3,2.0,1,False
167,28.0,55.0,0,1,1,2.0,1,True
168,45.0,27.9,1,4,3,2.0,0,True
169,28.0,25.925,0,0,1,2.0,0,False
170,28.0,564.958,0,0,3,2.0,0,False
171,61.0,33.5,0,0,1,2.0,0,False
172,4.0,29.125,4,1,3,1.0,0,False
173,1.0,111.333,1,1,3,2.0,1,True
174,21.0,7.925,0,0,3,2.0,0,False
175,56.0,306.958,0,0,1,0.0,0,False
176,18.0,78.542,1,1,3,2.0,0,False
177,28.0,254.667,3,1,3,2.0,0,False
178,50.0,287.125,0,0,1,0.0,0,True
179,30.0,13.0,0,0,2,2.0,0,False
180,36.0,0.0,0,0,3,2.0,0,False
181,28.0,69.55,8,2,3,2.0,0,True
182,28.0,15.05,0,0,2,0.0,0,False
183,9.0,313.875,4,2,3,2.0,0,False
184,1.0,39.0,2,1,2,2.0,1,False
185,4.0,22.025,0,2,3,2.0,1,True
186,28.0,50.0,0,0,1,2.0,0,False
187,28.0,15.5,1,0,3,1.0,1,True
188,45.0,26.55,0,0,1,2.0,1,False
189,40.0,15.5,1,1,3,1.0,0,False
190,36.0,78.958,0,0,3,2.0,0,False
191,32.0,13.0,0,0,2,2.0,1,True
192,19.0,13.0,0,0,2,2.0,0,False
193,19.0,78.542,1,0,3,2.0,1,True
194,3.0,26.0,1,1,2,2.0,1,False
195,44.0,277.208,0,0,1,0.0,1,True
196,58.0,1465.208,0,0,1,0.0,1,True
197,28.0,7.75,0,0,3,1.0,0,False
198,42.0,84.042,0,1,3,2.0,0,False
199,28.0,7.75,0,0,3,1.0,1,True
200,24.0,13.0,0,0,2,2.0,0,True
201,28.0,9.5,0,0,3,2.0,0,False
202,28.0,69.55,8,2,3,2.0,0,False
203,34.0,64.958,0,0,3,2.0,0,False
204,45.5,7.225,0,0,3,0.0,0,False
205,18.0,8.05,0,0,3,2.0,1,False
206,2.0,104.625,0,1,3,2.0,0,True
207,32.0,15.85,1,0,3,2.0,0,False
208,26.0,187.875,0,0,3,0.0,1,False
209,16.0,7.75,0,0,3,1.0,1,True
210,40.0,31.0,0,0,1,0.0,1,False
211,24.0,7.05,0,0,3,2.0,0,False
212,35.0,21.0,0,0,2,2.0,1,True
213,22.0,7.25,0,0,3,2.0,0,False
214,30.0,13.0,0,0,2,2.0,0,False
215,28.0,7.75,1,0,3,1.0,0,False
216,31.0,113.275,1,0,1,0.0,1,True
217,27.0,7.925,0,0,3,2.0,1,True
218,42.0,27.0,1,0,2,2.0,0,False
219,32.0,762.917,0,0,1,0.0,1,True
220,30.0,10.5,0,0,2,2.0,0,False
221,16.0,8.05,0,0,3,2.0,1,False
222,27.0,13.0,0,0,2,2.0,0,False
223,51.0,8.05,0,0,3,2.0,0,False
224,28.0,78.958,0,0,3,2.0,0,False
225,38.0,90.0,1,0,1,2.0,1,False
226,22.0,9.35,0,0,3,2.0,0,False
227,19.0,10.5,0,0,2,2.0,1,False
228,20.5,7.25,0,0,3,2.0,0,False
229,18.0,13.0,0,0,2,2.0,0,False
230,28.0,254.667,3,1,3,2.0,0,True
231,35.0,83.475,1,0,1,2.0,1,True
232,29.0,7.775,0,0,3,2.0,0,False
233,59.0,13.5,0,0,2,2.0,0,False
234,5.0,313.875,4,2,3,2.0,1,True
235,24.0,10.5,0,0,2,2.0,0,False
236,28.0,7.55,0,0,3,2.0,0,True
237,44.0,26.0,1,0,2,2.0,0,False
238,8.0,26.25,0,2,2,2.0,1,True
239,19.0,10.5,0,0,2,2.0,0,False
240,33.0,12.275,0,0,2,2.0,0,False
241,28.0,144.542,1,0,3,0.0,0,True
242,28.0,15.5,1,0,3,1.0,1,True
243,29.0,10.5,0,0,2,2.0,0,False
244,22.0,7.125,0,0,3,2.0,0,False
245,30.0,7.225,0,0,3,0.0,0,False
246,44.0,90.0,2,0,1,1.0,0,False
247,25.0,7.775,0,0,3,2.0,0,True
248,24.0,14.5,0,2,2,2.0,1,True
249,37.0,525.542,1,1,1,2.0,1,False
250,54.0,26.0,1,0,2,2.0,0,False
251,28.0,7.25,0,0,3,2.0,0,False
252,29.0,104.625,1,1,3,2.0,0,True
253,62.0,26.55,0,0,1,2.0,0,False
254,30.0,16.1,1,0,3,2.0,0,False
255,41.0,202.125,0,2,3,2.0,0,True
256,29.0,152.458,0,2,3,0.0,1,True
257,28.0,79.2,0,0,1,0.0,1,True
258,30.0,86.5,0,0,1,2.0,1,True
259,35.0,5123.292,0,0,1,0.0,1,True
260,50.0,26.0,0,1,2,2.0,1,True
261,28.0,7.75,0,0,3,1.0,0,False
262,3.0,313.875,4,2,3,2.0,1,False
263,52.0,79.65,1,1,1,2.0,0,False
264,40.0,0.0,0,0,1,2.0,0,False
265,28.0,7.75,0,0,3,1.0,0,True
266,36.0,10.5,0,0,2,2.0,0,False
