iter	Passed	Remaining
0	49	49014
1	50	25105
2	51	17139
3	52	13178
4	53	10682
5	54	9105
6	56	7975
7	57	7125
8	58	6472
9	60	5954
10	61	5507
11	62	5137
12	63	4819
13	64	4546
14	65	4289
15	66	4087
16	67	3900
17	68	3742
18	70	3651
19	71	3524
20	72	3392
21	73	3276
22	74	3180
23	75	3088
24	77	3005
25	78	2926
26	79	2852
27	80	2787
28	81	2728
29	82	2670
30	83	2615
31	84	2557
32	86	2521
33	87	2473
34	87	2421
35	88	2379
36	89	2339
37	90	2302
38	92	2267
39	93	2233
40	94	2200
41	95	2169
42	96	2140
43	97	2111
44	98	2083
45	99	2058
46	100	2035
47	101	2011
48	102	1988
49	103	1962
50	104	1942
51	105	1917
52	106	1898
53	106	1872
54	107	1854
55	108	1836
56	109	1817
57	110	1801
58	111	1785
59	112	1769
60	113	1754
61	114	1736
62	115	1723
63	116	1709
64	117	1696
65	119	1685
66	120	1673
67	121	1661
68	122	1649
69	123	1637
70	124	1626
71	125	1616
72	126	1607
73	127	1599
74	129	1596
75	130	1589
76	131	1580
77	132	1570
78	134	1562
79	135	1554
80	136	1546
81	137	1534
82	138	1526
83	139	1520
84	140	1514
85	141	1508
86	142	1499
87	143	1491
88	144	1480
89	145	1474
90	146	1467
91	147	1460
92	149	1453
93	150	1446
94	151	1439
95	151	1428
96	152	1422
97	153	1417
98	155	1411
99	156	1405
100	157	1400
101	158	1395
102	159	1390
103	160	1385
104	161	1380
105	163	1376
106	164	1370
107	165	1365
108	166	1360
109	167	1355
110	168	1347
111	169	1342
112	170	1337
113	171	1331
114	172	1325
115	173	1320
116	174	1315
117	175	1311
118	176	1306
119	177	1302
120	178	1295
121	179	1291
122	180	1287
123	181	1282
124	182	1278
125	183	1274
126	184	1269
127	185	1265
128	186	1261
129	187	1257
130	189	1253
131	190	1250
132	191	1246
133	192	1242
134	193	1238
135	194	1234
136	195	1231
137	196	1227
138	197	1224
139	198	1220
140	199	1216
141	200	1213
142	201	1209
143	202	1206
144	204	1203
145	205	1200
146	206	1196
147	207	1193
148	208	1190
149	209	1186
150	210	1183
151	211	1180
152	212	1176
153	213	1172
154	214	1169
155	215	1166
156	216	1162
157	217	1159
158	218	1156
159	219	1153
160	220	1151
161	221	1148
162	223	1145
163	224	1142
164	225	1139
165	226	1136
166	226	1131
167	227	1128
168	228	1125
169	229	1122
170	230	1119
171	231	1116
172	232	1113
173	233	1110
174	234	1106
175	235	1101
176	236	1098
177	237	1095
178	238	1093
179	239	1090
